Current (mA) - Plot 0,Voltage (mV) - Plot 0,
-3.5,-0.308093,
-3.4,-0.299403,
-3.3,-0.290717,
-3.2,-0.282007,
-3.1,-0.273301,
-3,-0.264574,
-2.9,-0.255857,
-2.8,-0.247114,
-2.7,-0.238374,
-2.6,-0.229623,
-2.5,-0.220857,
-2.4,-0.212092,
-2.3,-0.203316,
-2.2,-0.194529,
-2.1,-0.185736,
-2,-0.176941,
-1.9,-0.168152,
-1.8,-0.159327,
-1.7,-0.150513,
-1.6,-0.141688,
-1.5,-0.132866,
-1.4,-0.12404,
-1.3,-0.115198,
-1.2,-0.106372,
-1.1,-0.0975333,
-1,-0.0886766,
-0.9,-0.0798308,
-0.8,-0.0709725,
-0.7,-0.0621257,
-0.6,-0.0532558,
-0.5,-0.0443924,
-0.4,-0.0355413,
-0.3,-0.0266892,
-0.2,-0.017813,
-0.1,-0.00894318,
6.38E-16,-8.07E-05,
0.1,0.0087857,
0.2,0.0176416,
0.3,0.0265204,
0.4,0.0353739,
0.5,0.0442432,
0.6,0.0530972,
0.7,0.0619545,
0.8,0.0708162,
0.9,0.0796671,
1,0.0885154,
1.1,0.0973623,
1.2,0.106205,
1.3,0.11506,
1.4,0.123892,
1.5,0.132725,
1.6,0.141542,
1.7,0.150383,
1.8,0.159185,
1.9,0.168007,
2,0.176802,
2.1,0.185605,
2.2,0.194389,
2.3,0.203172,
2.4,0.211958,
2.5,0.220729,
2.6,0.22949,
2.7,0.238238,
2.8,0.246986,
2.9,0.255716,
3,0.26446,
3.1,0.273183,
3.2,0.281893,
3.3,0.290597,
3.4,0.29929,
3.5,0.307957,
3.6,0.316643,
3.7,0.325313,
3.8,0.333958,
3.9,0.342606,
4,0.351231,
4.1,0.359861,
4.2,0.368477,
4.3,0.377062,
4.4,0.385665,
4.5,0.394234,
4.6,0.402811,
4.7,0.411366,
4.8,0.419916,
4.9,0.428446,
5,0.436968,
5.1,0.445485,
5.2,0.453994,
5.3,0.46247,
5.4,0.470948,
5.5,0.479412,
5.6,0.487869,
5.7,0.496309,
5.8,0.504745,
5.9,0.513167,
6,0.521576,
6.1,0.529959,
6.2,0.538344,
6.3,0.546709,
6.4,0.555075,
6.5,0.563436,
